"Punk IPA",BrewDog,"IPA - American",5.6,45,,,,,,,,3.5,"2015-04-03 23:46:15",https://untappd.com/c/169132025,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,"Aberdeenshire, AB41 8BX"
"Lapin Kulta Premium IVA",Hartwall,"Lager - Euro",5.2,0,,,,,,,,1.5,"2015-04-04 20:12:47",https://untappd.com/c/169508299,https://untappd.com/beer/188412,https://untappd.com/brewery/3264,Finland,Helsinki,
"Lapin Kulta Premium IVA",Hartwall,"Lager - Euro",5.2,0,,,,,,,,2,"2015-04-04 20:18:46",https://untappd.com/c/169511303,https://untappd.com/beer/188412,https://untappd.com/brewery/3264,Finland,Helsinki,
IPA,"Lagunitas Brewing Company","IPA - American",6.2,46,,,,,,,,3.5,"2015-04-04 20:44:42",https://untappd.com/c/169524964,https://untappd.com/beer/4509,https://untappd.com/brewery/765,"United States",Petaluma,CA
"Brooklyn East IPA","Brooklyn Brewery","IPA - English",6.9,47,,,,,,,,2.5,"2015-04-05 17:39:49",https://untappd.com/c/169983846,https://untappd.com/beer/1826,https://untappd.com/brewery/259,"United States",Brooklyn,NY
IPA,"Lagunitas Brewing Company","IPA - American",6.2,46,,,,,,,,3.5,"2015-04-05 19:01:46",https://untappd.com/c/170001923,https://untappd.com/beer/4509,https://untappd.com/brewery/765,"United States",Petaluma,CA
Duvel,"Duvel Moortgat","Belgian Strong Pale Ale",8.5,0,,,,,,,,3,"2015-04-06 17:27:54",https://untappd.com/c/170286313,https://untappd.com/beer/6868,https://untappd.com/brewery/167,Belgium,"2870 Puurs",Antwerpen
"Duvel Tripel Hop (2015)","Duvel Moortgat","Blonde Ale - Belgian Blonde / Golden",9.5,48,,,,,,,,3,"2015-04-06 17:29:30",https://untappd.com/c/170286509,https://untappd.com/beer/983794,https://untappd.com/brewery/167,Belgium,"2870 Puurs",Antwerpen
"Chimay Bleue (Grande Réserve)","Bières de Chimay (Abbaye Notre Dame de Scourmont) ","Belgian Strong Dark Ale",9,0,,,,,,,,3,"2015-04-06 20:14:55",https://untappd.com/c/170309780,https://untappd.com/beer/34039,https://untappd.com/brewery/378,Belgium,Baileux,
"Lorem Ipsum (S)IPA","All In Brewing","IPA - Session / India Session Ale",4.6,0,,,,,,,,3,"2015-04-08 18:14:01",https://untappd.com/c/170781970,https://untappd.com/beer/875418,https://untappd.com/brewery/59245,Sweden,Göteborg,
"South Plains IPA","South Plains Brewing Company","IPA - American",6.7,73,,,,,,,,3.5,"2015-04-08 18:34:53",https://untappd.com/c/170783821,https://untappd.com/beer/346556,https://untappd.com/brewery/36961,Sweden,Malmö,Skåne
"Centennial IPA","Founders Brewing Co.","IPA - American",7.2,65,,,,,,,,4,"2015-04-09 20:05:01",https://untappd.com/c/171017912,https://untappd.com/beer/1456,https://untappd.com/brewery/549,"United States","Grand Rapids",MI
Maximus,"Lagunitas Brewing Company","IPA - Imperial / Double",8.2,72,,,,,,,,4.5,"2015-04-09 20:05:33",https://untappd.com/c/171018009,https://untappd.com/beer/5771,https://untappd.com/brewery/765,"United States",Petaluma,CA
"Modus Hoperandi","Ska Brewing","IPA - American",6.8,70,,,,,,,,4,"2015-04-09 20:06:12",https://untappd.com/c/171018117,https://untappd.com/beer/5729,https://untappd.com/brewery/1150,"United States",Durango,CO
Nebuchadnezzar,Omnipollo,"IPA - Imperial / Double",8.5,100,,,,,,,,5,"2015-04-09 21:28:09",https://untappd.com/c/171032791,https://untappd.com/beer/233045,https://untappd.com/brewery/29486,Sweden,Stockholm,
"Ananasfeber APA",Brewski,"Pale Ale - American",5,0,"Är väl ingen APA-fantast till att börja med, men jag gillar fruktigheten.",,,,,,,3.5,"2015-04-10 19:29:38",https://untappd.com/c/171292582,https://untappd.com/beer/1010091,https://untappd.com/brewery/167487,Sweden,Helsingborg,
Fathom,"Ballast Point Brewing & Spirits","Lager - IPL (India Pale Lager)",7,70,,,,,,,,3.5,"2015-04-10 19:40:17",https://untappd.com/c/171295359,https://untappd.com/beer/6609,https://untappd.com/brewery/68,"United States","San Diego",CA
"Dragets Kanal Dubbel IPA","Nynäshamns Ångbryggeri ","IPA - Imperial / Double",8.5,0,,,,,,,,2.5,"2015-04-11 09:11:29",https://untappd.com/c/171664136,https://untappd.com/beer/29644,https://untappd.com/brewery/4617,Sweden,NYNÄSHAMN,
IPA,"Amager Bryghus","IPA - American",7,0,,,,,,,,3,"2015-04-12 21:38:49",https://untappd.com/c/172351531,https://untappd.com/beer/24567,https://untappd.com/brewery/1950,Denmark,Kastrup,
"Herr Hemlig IPA",Brewski,"IPA - American",5.5,0,,,,,,,,5,"2015-04-13 19:00:44",https://untappd.com/c/172591668,https://untappd.com/beer/872918,https://untappd.com/brewery/167487,Sweden,Helsingborg,
IPA,"Lagunitas Brewing Company","IPA - American",6.2,46,,,,,,,,3.5,"2015-04-13 20:28:15",https://untappd.com/c/172601511,https://untappd.com/beer/4509,https://untappd.com/brewery/765,"United States",Petaluma,CA
Mazarin,Omnipollo,"Pale Ale - American",5.6,0,,,,,,,,4.5,"2015-04-13 20:43:03",https://untappd.com/c/172603350,https://untappd.com/beer/166518,https://untappd.com/brewery/29486,Sweden,Stockholm,
